Artist,Song Title,Year,Tempo,Genre
Nick Cave & The Bad Seeds,0,0,144.603,rock
Nadine Renee,0,0,167.92,freestyle
Lesley Gore,0,1963,129.122,brill building pop
Smartbomb,0,2001,132.022,melodic hardcore
Suburbs,0,2005,183.92,british pop
Emperor,0,0,89.867,heavy metal
Julien Clerc,0,0,119.896,chanson
Glen Campbell,0,0,137.29,country rock
T.G. Sheppard,0,2002,82.343,country rock
Slim Whitman,0,1990,91.487,folk-pop
Savage Garden,0,1999,84.69,easy listening
Queens Of The Stone Age,0,2005,115.606,stoner metal
Hank Penny & The Lincoln Penny Orchestra,0,0,126.523,western swing
Inspiral Carpets,0,1990,113.677,indie rock
Borialis,0,0,86.938,rap rock
The Dirty Skirts,0,0,141.936,indie rock
Flor Silvestre,0,0,106.049,ranchera
BA(c)zu,0,0,126.88,chanson
Redman,0,2001,85.008,hip hop
Solistiyhtye Suomi,0,0,133.699,german pop
Eddie Cantor,0,0,118.975,easy listening
Schizoid,0,0,102.408,breakcore
Kai Winding,0,1961,112.006,hard bop
Sonny Simmons,0,0,45.527,free jazz
Mira,0,2006,85.621,shoegaze
Citizen Kaned,0,2000,108.061,chill-out
The Brooklyn Tabernacle Choir,0,1995,216.195,gospel
Ellen McIlwaine,0,0,132.428,blues-rock
Vince Guaraldi / Bola Sete,0,0,168.307,latin jazz
Maurice Chevalier,0,0,140.956,chanson
Carl Cox Vs Yousef,0,1991,130.016,tech house
Organized Konfusion,0,1997,175.769,hip hop
Martina McBride,0,2005,100.194,country
Horace Andy,0,1985,151.911,roots reggae
Nazz,0,0,119.691,freakbeat
Tyrone Davis,0,0,161.976,chicago soul
Hot Tuna,0,1971,172.398,blues-rock
Richard Burton,0,0,109.823,jazz fusion
Rory Block,0,0,90.101,delta blues
Boyz II Men,0,1994,116.473,new jack swing
Howard Armstrong,0,0,126.821,piedmont blues
Donny Hathaway,0,1971,111.191,jazz funk
Miguel Gallardo,0,0,125.508,male vocalist
Les Ogres De Barback,0,1999,137.888,chanson
DJ X-Change featuring DJ Joey A,0,0,150.012,ghetto tech
Morel,0,0,108.367,dance pop
Tony Joe White,0,0,173.482,country rock
Wolfmother,0,2009,110.745,stoner metal
The Roches,0,1995,130.027,singer-songwriter
Bob Margolin,0,0,110.168,blues-rock
Thomas Battenstein,0,0,97.976,guitar
Jupiter Rising,0,2007,119.979,pop rap
Dharma Bums,0,0,156.968,progressive house
Saafir,0,1999,188.886,hip hop
The Verve Pipe,0,2001,133.306,post-grunge
Bob Neuwirth,0,1990,152.267,singer-songwriter
Marvin Sapp,0,0,166.275,gospel
James Hunter,0,0,114.971,blue-eyed soul
Nelson Ned,0,0,144.651,latin jazz
Mish Mash,0,0,152.005,vocal house
Cama,0,2009,155.074,los angeles
Maxi Priest,0,1991,61.971,lovers rock
Porcupine Tree,0,1997,124.04,experimental rock
Ragheb Alama,0,0,191.196,arabesque
Foo Fighters,0,2005,152.127,grunge
Shakira Featuring Wyclef Jean,0,0,100.023,dance pop
The Avengers,0,0,192.688,rock
Robben Ford,0,1988,154.322,blues-rock
Brazilian Tropical Orchestra,0,0,236.006,bossa nova
Gil Semedo,0,0,150.666,zouk
Soda Stereo,0,1984,175.421,rock
Xmilk,0,0,104.153,thrash core
Dolce; Oscar G.,0,0,127.278,folk-pop
Britt Nicole,0,0,160.165,ccm
Schizoid,0,0,86.091,breakcore
Toni Braxton Featuring Shaggy,0,2001,149.94,dance pop
Perrey And Kingsley,0,2001,135.78,easy listening
Sven Tasnadi,0,0,122.967,tech house
Eddie,0,0,142.024,frevo
Enthroned,0,2010,135.535,black metal
Suzanne Ciani,0,1989,139.189,meditation
Milan Band,0,0,128.598,serialism
Johnny Osbourne,0,2004,163.445,roots reggae
Dolly Parton,0,1971,114.027,bluegrass
Rance Allen Group,0,0,111.316,jazz funk
Pearl Jam,0,2006,105.994,grunge
Natalie Cole,0,0,88.489,vocal jazz
Mastodon,0,2009,118.433,alternative metal
Kiril Valeri,0,0,96.007,flamenco
Word,0,0,187.807,blues-rock
DJ Quik,0,1991,181.115,gangster rap
Hank Locklin,0,0,148.357,honky tonk
BT,0,0,136.164,electronica
2-4 Grooves feat. Reki D.,0,2009,126.941,vocal house
The Jordanaires,0,0,159.582,country gospel
Descendents,0,1986,89.495,hardcore punk
L.A. Guns,0,1988,102.259,heavy metal
Bare Jr.,0,1998,107.529,post-grunge
Shelley Fabares,0,0,99.408,brill building pop
Norrie Paramor,0,0,79.731,easy listening
Gary Hobbs,0,0,188.502,tejano
Diesel Boy,0,1998,133.729,pop rock
Angelo Badalamenti,0,0,139.136,chill-out
Cradle Of Filth,0,1994,193.693,sympho black metal
Jim Chappell,0,0,76.693,chamber jazz
Ladybug,0,0,126.95,dancehall
Bandido,0,0,144.812,hard house
Brixx,0,0,138.003,rap
Nine Inch Nails,0,1999,130.284,industrial metal
Susana Seivane,0,2010,152.013,gaita
Leland Martin,0,0,159.968,honky tonk
Test Icicles,0,2005,75.031,grime
Heaven 17,0,1981,150.837,new romantic
React,0,0,143.231,happy hardcore
Sven Tasnadi,0,0,123.993,tech house
Mance Lipscomb,0,2000,97.981,texas blues
Scott Wesley Brown,0,0,137.288,modern rock
FlA!vio JosA(c),0,0,168.323,brazil
Moss,0,2009,111.079,future jazz
Pery Ribeiro,0,0,133.009,bossa nova
Soular,0,0,146.577,breakbeat
Dimmu Borgir,0,1996,140.458,black metal
Public Image Ltd,0,1983,132.506,dance rock
Gary Moore,0,1997,153.862,blues-rock
Pascal Sangla,0,2010,93.238,french pop
The B-52's,0,1986,124.086,dance rock
Dakis,0,0,66.765,greek
Sex Pistols,0,1988,145.518,punk
Chris Brown,0,0,139.998,r&b
Deekline & Wizard,0,2004,90.648,breakbeat
Daniela DessA!,0,0,140.334,opera
Hem,0,2005,89.86,folk-pop
Lily Allen,0,2006,156.097,ska
Pentangle,0,0,179.501,british invasion
DJ Dips,0,0,86.689,turnablism
Ana Bekuta,0,0,160.261,pop folk
Jason Miles,0,0,101.03,jazz fusion
Busdriver,0,2007,155.038,alternative hip hop
Byther Smith,0,1989,117.168,chicago blues
Bebo & Cigala,0,2003,132.967,latin jazz
Bizarre Inc,0,1996,139.91,breakbeat
Bongzilla,0,1999,95.882,stoner metal
The Gone Jackals,0,1995,135.175,blues-rock
The Willis Brothers,0,0,121.983,western swing
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,0,0,169.775,latin jazz
S.U.P,0,2001,137.862,doom metal
Boogie Pimps,0,0,83.326,hard house
Brian Keane,0,0,117.667,world beat
Aberdeen,0,0,90.908,twee pop
The Killers,0,2008,151.953,rock
Gloriana,0,0,161.054,teen pop
Butterfly Temple,0,0,159.895,doom metal
Grant Geissman,0,0,128.219,smooth jazz
20/20,0,0,101.229,power pop
JosA(c) Augusto,0,0,98.859,latin pop
Orbital,0,2001,125.975,techno
Bone Thugs-N-Harmony / Akon,0,2007,154.09,gangster rap
Moonsorrow,0,2001,124.237,viking metal
N.W.A.,0,1989,97.099,gangster rap
Rage Against The Machine,0,2000,140.63,rap metal
Jazz Gillum,0,0,101.41,chicago blues
Rise Against,0,2003,186.254,hardcore punk
Ultraviolence,0,1995,210.47,gabba
Korn,0,1999,94.057,rap metal
Sir Neville Marriner,0,0,100.349,requiem
Agnes,0,0,124.009,europop
James Horner,0,1986,90.084,rock
Tantric,0,2009,106.698,post-grunge
Mastodon,0,2001,89.78,alternative metal
Xcultures,0,2000,107.177,gabba
The Irish Tenors,0,0,152.258,irish folk
U2,0,2007,134.083,dance rock
Little Joe,0,0,106.398,soul jazz
Korn,0,2007,160.022,rap metal
Blind Blake & The Royal Victoria Hotel Calypsos,0,0,101.492,country blues
Percy Faith,0,0,86.141,instrumental pop
Extreme,0,0,120.097,funk metal
Alexandre Desplat,0,2004,128.173,soundtrack
Prozak,0,0,88.835,rap
Jerry Butler,0,0,105.24,chicago soul
Yvette Horner,0,0,162.385,chanson
Delta 9,0,0,109.636,gabba
Placebo,0,2003,108.264,british pop
Tam Tam Go!,0,0,119.524,pop rock
Gertrudis,0,2009,97.76,big beat
Warrior King,0,2002,241.877,roots reggae
Soda Stereo,0,1988,91.328,rock
LORE,0,0,130.062,trip hop
Soul Asylum,0,1998,68.734,hard rock
Carl Doy with NZSO,0,0,94.658,progressive house
Horace Andy,0,2005,102.055,roots reggae
Jimmy Wakely,0,2001,109.065,classic country
The Nightraver & The Magican,0,0,184.981,gabba
Rah Digga (Featuring Outsidaz),0,2000,201.802,hip hop
RUN-DMC,0,1984,119.67,hip hop
Bert Kaempfert And His Orchestra,0,0,105.181,orchestra
Hank Locklin,0,0,165.668,honky tonk
Lady May,0,0,188.056,hip hop
Nightwish,0,2007,143.97,sympho black metal
Angelo Badalamenti,0,1987,61.883,chill-out
Frank Chacksfield,0,0,0.0,orchestra
Cesar Camargo Mariano/Helio Delmiro,0,0,163.167,latin jazz
Buzzhorn,0,2002,144.836,post-grunge
Silverstein,0,2005,108.499,post-hardcore
!!!,0,2007,193.978,dance-punk
The Secret Life of Teenage Girls,0,0,88.935,grindcore
The Notorious B.I.G.,0,2007,91.69,gangster rap
Led Zeppelin,0,1982,210.8,blues-rock
Sandi Thom,0,2008,82.205,british pop
Carl Belew,0,0,121.563,rockabilly
The Field Mice,0,1989,162.682,twee pop
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,0,0,106.219,hard bop
Catherine Howe,0,0,172.337,chill-out
Malkit Singh,0,1993,210.305,broken beat
Rodney O & Joe Cooley,0,1991,175.393,miami bass
Dean Martin,0,2005,128.459,vocal
Strata,0,2004,109.671,post-grunge
James Darren,0,0,141.024,brill building pop
Till West & DJ Delicious,0,2006,125.558,funky house
Carlos NuA+-ez,0,2005,211.327,flamenco
Igor Stravinsky,0,0,147.637,ballet
Gene Clark,0,1998,98.49,country rock
Maysa,0,0,137.673,brazilian pop music
The Shirelles,0,1960,68.283,doo-wop
The American Boychoir,0,0,0.0,j pop
JDS,0,0,134.014,happy hardcore
Panic At The Disco,0,0,85.157,pop punk
Jan Howard,0,0,86.162,classic country
Abraham Laboriel,0,1995,93.106,jazz
"MichA""le Arnaud",0,0,49.262,chanson
Sticky Fingaz,0,2000,80.149,hip hop
Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,0,0,82.422,bel canto
The Jeff Healey Band,0,1989,107.197,blues-rock
Angela Dimitriou,0,0,124.177,pop folk
Danny Wilson,0,1989,196.034,british pop
Lionel Rogg,0,0,64.401,early music
Java,0,0,130.861,musette
SWAMI featuring Asuivre,0,2007,90.008,downtempo
The Black Velvet Band,0,0,122.174,irish folk
Lisa Lynne,0,1999,95.981,chill-out
Pe'z,0,0,75.955,argentine rock
Shawn Colvin,0,1989,210.871,country rock
Stephy Tang,0,0,105.196,cantonese pop
Casual,0,0,106.689,hip hop
Backstreet Boys,0,1999,112.787,teen pop
Tiny Tim,0,2000,93.779,cabaret
Kenny G featuring Daryl Hall,0,0,89.865,instrumental pop
Christos Dantis,0,0,133.339,pop rock
David Martin,0,0,98.718,screamo
John Davis,0,0,74.072,jazz fusion
Trafik,0,0,130.006,progressive house
Nick Ingman;Gavyn Wright,0,0,104.394,jazz funk
Eddie Calvert,0,0,159.587,cool jazz
Glad,0,1993,192.702,ccm
Steel Rain,0,0,98.11,country rock
Los Manolos,0,0,118.595,flamenco
Gloriana,0,0,143.601,teen pop
Bombay Rockers,0,0,81.319,bhangra
Jinx,0,0,89.345,breakbeat
Chase & Status,0,2005,174.993,breakbeat
Tom Petty,0,1994,129.122,heartland rock
Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,0,0,86.666,symphonic rock
Pucho & His Latin Soul Brothers,0,0,231.867,latin jazz
Soul Mekanik,0,0,190.698,tech house
Mitch Ryder,0,2004,97.538,blues-rock
Blingtones,0,0,95.225,turnablism
Luna Orbit Project,0,0,139.993,club
Danilo Perez,0,2003,159.233,latin jazz
Line Renaud,0,0,124.75,chanson
King Curtis,0,0,100.415,instrumental rock
Sophie B. Hawkins,0,1994,105.003,ballad
Lupe Fiasco,0,0,110.218,hip hop
Wilks,0,0,88.973,hip hop
Marc Shaiman,0,2008,134.566,soundtrack
40 Grit,0,2003,186.882,nu metal
Gwen Stefani,0,2004,113.995,rock
Steve Morse,0,2000,90.199,blues-rock
Bitter End,0,0,111.032,stoner metal
Ethel Merman,0,0,124.184,vaudeville
Leon Russell & New Grass Revival,0,0,157.746,blues-rock
Story Of The Year,0,2005,100.032,screamo
Natural Elements,0,1998,185.88,hip hop
Lisa Lynne,0,1998,94.031,chill-out
Neil Sedaka,0,1999,76.013,brill building pop
Maurice Larcange,0,0,133.553,chanson
A Static Lullaby,0,2008,202.233,post-hardcore
John Wesley_ John Wesley,0,0,133.405,disco
Coph Nia,0,2000,116.819,dark ambient
Tabu feat. Mitzib,0,0,127.887,cumbia
Nights Like These,0,2006,124.872,doom metal
Oasis,0,0,136.948,british pop
John Davis & Emma Doyle,0,0,169.878,jazz fusion
Stew,0,2003,100.621,cabaret
Jauida,0,0,101.01,male vocalist
Eddy Arnold,0,1967,157.779,honky tonk
All Time Low,0,2007,91.483,pop punk
Brian Dullaghan,0,0,99.109,irish folk
Richard Galliano,0,1999,76.296,tango
Regina Belle,0,1993,92.672,vocal jazz
Debbie Davies,0,1998,116.984,blues-rock
STEVE CAMP,0,0,139.07,ccm
Jay Tee & Baby Bash,0,0,98.983,hard house
The Stolen Minks,0,0,123.695,dance rock
Daath,0,2006,97.151,technical death metal
Extasick,0,0,91.459,digital hardcore
UFO,0,0,116.11,heavy metal
Avril - Remix By Ana Rago,0,2002,85.282,trip hop
Pat Travers,0,0,140.872,blues-rock
SNOWPATROL,0,0,144.003,indie rock
Die Fantastischen Vier,0,1991,120.001,pop rap
Jeanie Lambe & The Danny Moss Quartet,0,0,168.558,hip hop
Nelson Ned,0,0,146.061,latin jazz
Yung Joc,0,2007,174.019,gangster rap
Philippe Sarde,0,0,85.691,smooth jazz
Orquesta AragA3n,0,2003,92.606,charanga
Jason Miles,0,0,163.97,jazz fusion
State of Chaos,0,0,97.619,tech house
Dropkick Murphys,0,2002,183.808,celtic punk
Taint,0,2009,92.044,power electronics
VHS Or Beta,0,2004,126.806,disco
Leonard Kwan,0,0,108.912,slack key guitar
True Believers,0,0,160.731,melodic hardcore
Les Hurlements D'leo,0,1999,104.307,folk rock
Charanga Forever,0,2000,203.964,salsa
Zuzu Bollin,0,0,131.683,r&b
Bullet For My Valentine,0,2005,188.924,alternative metal
The Hit Factory,0,0,126.342,free music
Terry Snyder,0,0,112.097,space age pop
Marcus Miller,0,1983,125.147,jazz funk
Beatnuts,0,0,87.634,grime
Ayo,0,2006,128.689,neo soul
Kid Sister,0,2009,140.026,hip house
Mons Leidvin Takle,0,0,147.576,lullaby
Public Image Ltd,0,1985,193.56,dance rock
Rise Against,0,2001,122.006,hardcore punk
Sizzla,0,2005,190.01,dancehall
Richard Galliano,0,0,111.663,tango
Helen Love,0,1994,100.76,power pop
David Mingyue Liang,0,0,163.67,chinese music
Pursuit Of Happiness,0,0,127.298,power pop
Bobby Hutcherson,0,0,95.633,latin jazz
Gregory Isaacs,0,0,160.011,lovers rock
The Pharcyde,0,2004,38.233,rap
Azis,0,2006,98.151,pop folk
Amy Winehouse,0,2003,91.198,vocal jazz
George Lopez,0,2009,75.467,california
Les Hou-Lops,0,0,103.29,freakbeat
The Cosmosamatics,0,0,65.054,free jazz
Jackie Edwards,0,2006,161.796,rock steady
Michael Card,0,0,115.258,ccm
Richard Galliano,0,0,230.992,tango
Ensiferum,0,1999,179.988,power metal
Leila Chicot,0,0,90.008,zouk
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,0,1995,95.816,rap
Erkki Junkkarinen,0,0,100.612,humppa
A Static Lullaby,0,2005,80.41,post-hardcore
Scar Symmetry,0,2006,150.086,death metal
Oztara,0,2005,191.929,musette
Sonia Dersion,0,2004,173.936,zouklove
Christina Aguilera,0,2000,117.984,dance pop
Headhunter,0,0,153.551,dubstep
Eighteen Visions,0,2006,131.079,alternative metal
Baby Huey & The Baby Sitters,0,1971,132.973,funk
Elmore James,0,0,97.03,chicago blues
Rising Lion,0,0,88.137,roots reggae
George Harrison,0,0,133.383,classic rock
Weezer,0,2001,142.68,pop rock
Rodney O & Joe Cooley,0,1993,107.185,miami bass
Boots Randolph,0,1963,101.485,instrumental rock
Jackson United,0,2008,90.636,surf music
The Cosmosamatics,0,0,61.487,free jazz
Bobbie Gentry,0,1968,152.434,country blues
Creedence Clearwater Revived,0,0,121.232,country rock
The Johnny Otis Orchestra,0,0,105.268,jump blues
B.A.D.,0,0,95.655,dance rock
Luar Na Lubre,0,2001,229.913,freestyle
Circular,0,0,75.127,chill-out
Fruko Y Sus Tesos,0,2004,106.769,salsa
The Bucketheads,0,1995,120.876,vocal house
The Police,0,0,123.657,new wave
Kinky,0,0,144.954,alternative dance
The Real Kids,0,1996,147.661,power pop
Eddie Boyd,0,0,84.224,chicago blues
Tha Chamba,0,0,172.287,rap
Jack Orsen & Taktlo$$,0,0,167.902,hip hop
Olov Johansson_ Catriona Mckay,0,0,74.046,world music
Shriekback,0,2005,100.15,alternative dance
Hatebreed,0,2006,85.771,hardcore punk
John Frizzell,0,2002,210.898,soundtrack
Sister Hazel,0,2010,140.259,post-grunge
J.J. Cale,0,1983,133.398,blues-rock
Precious Bryant,0,2005,91.538,blues
Kings Of Leon,0,2007,114.73,southern rock
Selena,0,0,106.438,tejano
Brooke Valentine,0,2005,111.936,crunk
Krystof,0,2006,93.015,soft rock
Claire Hamill,0,0,101.662,new age
Los Originales De San Juan,0,0,179.502,mariachi
Black Flag,0,1982,70.649,hardcore punk
Barbarito Diez,0,0,85.878,charanga
Aaron Watson,0,2008,155.896,honky tonk
Mary Black,0,1999,163.567,country rock
Satan's Host,0,0,121.553,heavy metal
The Impressions,0,0,81.586,chicago soul
Owl City,0,2007,150.066,synthpop
Bobby Bland,0,2006,105.927,soul blues
Headliners,0,2006,88.001,hard house
Jane Winther,0,0,27.163,meditation
The Rascals,0,0,113.058,blue-eyed soul
Blind Blake,0,0,86.997,country blues
Emilia,0,0,86.62,europop
CA3mplices,0,1991,100.051,pop rock
Emilio,0,0,205.333,tejano
Nana Caymmi,0,0,179.575,brazilian pop music
Kasia Stankiewicz,0,2006,134.051,chill-out
Turisas,0,2004,160.009,viking metal
ChA(c)co Feliciano And Joe King,0,2006,87.976,salsa
Cache Cache,0,0,125.003,big beat
David Hudson,0,0,158.321,pop rock
David Summers,0,0,132.858,pop
Rummage,0,0,95.503,polka
Adr Lavey,0,0,96.007,gangster rap
Bill Boyd's Cowboy Ramblers,0,0,99.487,western swing
Canis Dirus,0,0,200.169,black metal
Vickie Winans,0,0,124.194,ccm
Justin,0,0,109.702,future jazz
La Portuaria,0,0,122.113,disco
Antonis Remos,0,0,117.671,pop folk
Percy Faith And His Orchestra,0,0,179.264,orchestra
Stars Like Fleas,0,2007,103.936,glitch
Gaetano Donizetti,0,0,107.536,bel canto
Shakira,0,1995,115.066,dance pop
Maysa,0,0,91.191,brazilian pop music
Little Freddie King,0,0,100.011,new orleans blues
Ms. Dynamite,0,2005,125.916,grime
Andy Russell,0,0,85.311,world
Blink-182,0,1997,200.716,power pop
Selena,0,0,182.168,tejano
Kali,0,0,138.048,hip hop
Vickie Winans,0,0,79.734,ccm
John Brown,0,0,87.453,hard trance
Abysmal Dawn,0,2008,125.086,blackened death metal
Chaotica,0,0,135.072,industrial rock
Lara & The Gumbo Lickers,0,0,93.425,visual kei
Elvin Bishop,0,2005,150.013,blues-rock
Gordon Jenkins,0,0,66.988,orchestra
1. Futurologischer Congress,0,0,80.315,kraut rock
Asleep At The Wheel,0,0,126.533,western swing
Neil Innes,0,0,141.116,pop rock
Marcus Miller,0,0,152.194,jazz funk
Siouxsie,0,2007,115.033,dark wave
Claire Hamill,0,0,178.725,new age
Alan Silvestri,0,2009,154.172,country rock
Sunnyland Slim,0,0,150.867,piano blues
Byther Smith,0,2004,94.554,chicago blues
Dusminguet,0,2001,196.188,rumba
Rudolph Valentino,0,1992,101.621,ballad
Sylvia Patricia,0,0,144.073,bossa nova
Zeromancer,0,2009,90.027,industrial rock
Regina Belle,0,2004,67.745,vocal jazz
Two Man Advantage,0,0,210.982,thrash core
Green Day,0,2005,101.08,alternative rock
Ayo,0,0,128.022,neo soul
Donny Hathaway,0,0,92.98,jazz funk
Chico,0,0,126.938,dirty south rap
KALIMBA,0,2009,80.484,death core
SKOLD vs. KMFDM,0,0,127.0,heavy metal
Architecture In Helsinki,0,0,100.032,twee pop
Wailing Souls,0,1979,124.788,roots reggae
Kitaro,0,1993,143.291,chill-out
Alice In Chains,0,2009,107.845,grunge
Bobby Darin,0,1995,90.18,brill building pop
Ini Kamoze,0,1995,100.342,dancehall
9th Wonder featuring Defcon_ Phonte,0,0,137.534,hip hop
The Real Kids,0,0,179.13,power pop
Ill Nino,0,2006,104.984,alternative metal
De La Ghetto,0,0,97.02,reggaeton
Baroness,0,2009,176.066,sludge metal
DMX / Eve / Jadakiss,0,2003,185.094,hip hop
Melt Banana,0,0,86.571,noise rock
M.I.K.E.,0,0,140.033,progressive trance
Willie Rosario,0,1999,197.458,salsa
Jude Taylor & His Burning Flames,0,1994,102.731,zydeco
Placebo,0,2000,142.116,british pop
Metallica,0,1982,167.486,speed metal
Sui Generis,0,0,124.604,cumbia
The Red Telephone,0,0,117.329,power pop
T-Bone,0,0,208.416,ccm
Bill Douglas,0,0,105.535,chamber jazz
DJ Spinn featuring Traxman,0,0,159.959,chicago house
The Radio Dept.,0,2007,88.02,shoegaze
MAPtley CrA1/4e,0,1999,127.745,heavy metal
Shy FX & T Power,0,2005,88.973,uk garage
Becky Baeling,0,2003,132.892,dance pop
Keb' Mo',0,2006,89.966,blues
UKW,0,0,97.362,neue deutsche welle
THE CHIFFONS,0,0,120.712,doo-wop
S. Solis y Orquesta,0,0,63.007,musette
Commander Cody And His Lost Planet Airmen,0,1974,104.823,country rock
Commissioned,0,0,157.869,ccm
Dee Clark,0,0,91.704,doo-wop
Cauterize,0,2003,97.148,pop punk
Laurie Berkner,0,2001,144.71,death core
DJ Slugo,0,0,150.056,bass music
Joi,0,0,95.973,breakbeat
Simon & Garfunkel,0,2004,151.5,folk-pop
Beenie Man Featuring Wyclef And Redman,0,0,79.823,dancehall
Robben Ford,0,2002,111.903,blues-rock
Greater Vision,0,0,135.955,ccm
Anti-Flag,0,1999,141.334,oi
Joe Lynn Turner,0,0,86.665,hard rock
Rickie Lee Jones,0,0,70.331,folk rock
Hysterie,0,2005,130.032,tech house
Aesop Rock,0,2001,167.909,underground rap
Bobby Vee,0,0,117.454,brill building pop
Alfredo GutiA(c)rrez,0,0,86.199,louisiana blues
Shelby Lynne,0,2005,121.773,country rock
Tora Tora,0,0,140.984,glam metal
Franz Ferdinand,0,2005,143.679,art rock
Hot Chip,0,2004,126.14,dance rock
Gal Costa,0,1981,137.941,brazilian pop music
Kathy Mattea,0,2008,146.894,bluegrass
James Taylor,0,0,102.756,folk-pop
Der Moderne Man,0,0,147.679,new wave
Jeff Beck,0,0,145.917,blues-rock
Taboo,0,0,131.968,new beat
BigElf,0,2003,64.006,stoner rock
Tanto Metro & Devonte,0,0,105.671,dancehall
Ray Kane,0,0,163.385,island music
Ashes to Ashes,0,0,94.888,avantgarde metal
Kelly Clarkson,0,2009,135.914,teen pop
Fudge Tunnel,0,1991,120.703,sludge metal
Edgar Bori,0,0,117.295,los angeles
Jimmy Witherspoon,0,0,94.105,jazz blues
Eliane Elias,0,1992,95.111,brazilian jazz
Dave Eggar,0,2002,100.893,new age
Donnie Brooks,0,2001,113.082,oldies
2raumwohnung,0,2007,125.995,tech house
SOJA,0,0,145.949,roots reggae
Dinosaur Jr.,0,1991,152.461,indie rock
Ulytau,0,0,140.13,folk metal
The Nelons,0,0,108.914,ccm
The Exies,0,2003,113.326,post-grunge
Babylon Disco,0,2007,89.927,breakcore
Kaija Koo,0,1995,121.981,humppa
Gus Viseur,0,2000,90.177,gypsy jazz
Dino,0,0,95.179,ccm
GG Allin,0,0,74.82,shock rock
Zimbabwe Legit,0,0,100.145,hip hop
Spinal Tap,0,1992,129.318,parody
Der Moderne Man,0,0,105.29,new wave
Buzzcocks,0,1980,176.153,new wave
Stanley Clarke,0,1975,84.064,jazz funk
